一,イチ
二,ニ
三,サン
十,ジュウ
二十,ニジュウ
三十,サンジュウ
五,ゴ
五十,ゴジュウ
四,ヨン
四十,ヨンジュウ
六,ロク
六十,ロクジュウ
八,ハチ
八十,ハチジュウ
七,ナナ
七十,ナナジュウ
百,ヒャク
二百,ニヒャク
五百,ゴヒャク
三百,サンビャク
四百,ヨンヒャク
六百,ロッピャク
七百,ナナヒャク
八百,ハッピャク
九,キュウ
九十,キュウジュウ
九百,キュウヒャク
千,セン
二千,ニセン
五千,ゴセン
三千,サンゼン
四千,ヨンセン
八千,ハッセン
六千,ロクセン
七千,ナナセン
九千,キュウセン
ゼロ,ゼロ
アメリカ,アメリカ
億,オク
アジア,アジア
アフリカ,アフリカ
日本,ニッポン
数,スウ
東京,トウキョウ
中国,チュウゴク
昭和,ショウワ
フランス,フランス
明治,メイジ
大阪,オオサカ
ドイツ,ドイツ
江戸,エド
イギリス,イギリス
ヨーロッパ,ヨーロッパ
京都,キョウト
韓国,カンコク
平成,ヘイセイ
朝鮮,チョウセン
米国,ベイコク
ロシア,ロシア
北海道,ホッカイドウ
パリ,パリ
インド,インド
沖縄,オキナワ
イタリア,イタリア
横浜,ヨコハマ
大正,タイショウ
ローマ,ローマ
富士,フジ
関東,カントウ
欧米,オウベイ
ユダヤ,ユダヤ
ソ連,ソレン
タイ,タイ
ニューヨーク,ニューヨーク
九州,キュウシュウ
大和,ヤマト
名古屋,ナゴヤ
台湾,タイワン
大平,タイヘイ
英国,エイコク
長崎,ナガサキ
ギリシャ,ギリシャ
ロンドン,ロンドン
広島,ヒロシマ
関西,カンサイ
オランダ,オランダ
スペイン,スペイン
英,エイ
二三,ニサン
京,キョウ
神戸,コウベ
千葉,チバ
福岡,フクオカ
数十,スウジュウ
新宿,シンジュク
鎌倉,カマクラ
東北,トウホク
北京,ペキン
満州,マンシュウ
奈良,ナラ
札幌,サッポロ
カナダ,カナダ
伊豆,イズ
北朝鮮,キタチョウセン
上野,ウエノ
上海,シャンハイ
香港,ホンコン
中華,チュウカ
宮崎,ミヤザキ
薩摩,サツマ
何十,ナンジュウ
東大,トウダイ
銀座,ギンザ
ベトナム,ベトナム
数百,スウヒャク
トルコ,トルコ
オーストラリア,オーストラリア
エジプト,エジプト
平安,ヘイアン
阪神,ハンシン
シナ,シナ
埼玉,サイタマ
神奈川,カナガワ
熊本,クマモト
自民,ジミン
多摩,タマ
日中,ニッチュウ
西欧,セイオウ
水戸,ミト
伊勢,イセ
兆,チョウ
ブラジル,ブラジル
トヨタ,トヨタ
新潟,ニイガタ
石川,イシカワ
四国,シコク
岩波,イワナミ
仙台,センダイ
王子,オウジ
秋田,アキタ
唐,トウ
愛知,アイチ
スイス,スイス
国連,コクレン
シブヤ,シブヤ
大分,オオイタ
福島,フクシマ
ハワイ,ハワイ
ワシントン,ワシントン
何百,ナンビャク
静岡,シズオカ
鹿児島,カゴシマ
慶応,ケイオウ
メキシコ,メキシコ
瀬戸,セト
ジャパン,ジャパン
兵庫,ヒョウゴ
浅草,アサクサ
一二,イチニ
滋賀,シガ
一千,イッセン
ソウル,ソウル
漢,カン
山形,ヤマガタ
岡山,オカヤマ
フィリピン,フィリピン
欧州,オウシュウ
長州,チョウシュウ
青森,アオモリ
高知,コウチ
三重,サンジュウ
近江,オウミ
イスラエル,イスラエル
東海,トウカイ
神田,カンダ
インドネシア,インドネシア
宋,ソウ
数千,スウセン
アイヌ,アイヌ
モンゴル,モンゴル
イラク,イラク
三菱,ミツビシ
ベルリン,ベルリン
佐賀,サガ
越前,エチゼン
早稲田,ワセダ
室町,ムロマチ
宮城,ミヤギ
イラン,イラン
カリフォルニア,カリフォルニア
茨城,イバラキ
富山,トヤマ
岐阜,ギフ
品川,シナガワ
松山,マツヤマ
信濃,シナノ
蘭,ラン
安芸,アキ
アラビア,アラビア
オーストリア,オーストリア
出雲,イズモ
アイルランド,アイルランド
飛鳥,アスカ
清,シン
ウィーン,ウィーン
ナチス,ナチス
ソニー,ソニー
加賀,カガ
アラブ,アラブ
ポーランド,ポーランド
本田,ホンダ
何千,ナンゼン
群馬,グンマ
南京,ナンキン
スウェーデン,スウェーデン
モスクワ,モスクワ
和歌山,ワカヤマ
シベリア,シベリア
蝦夷,エゾ
イングランド,イングランド
小田原,オダワラ
佐渡,サド
東亜,トウア
会津,アイヅ
四五,シゴ
三井,ミツイ
越後,エチゴ
赤坂,アカサカ
博多,ハカタ
五六,ゴロク
箱根,ハコネ
津軽,ツガル
本郷,ホンゴウ
シンガポール,シンガポール
琉球,リュウキュウ
靖国,ヤスクニ
ポルトガル,ポルトガル
尾張,オワリ
元禄,ゲンロク
松下,マツシタ
ベルギー,ベルギー
国鉄,コクテツ
吉原,ヨシワラ
日産,ニッサン
日航,ニッコウ
ブラ,ブラ
天神,テンジン
昭,ショウ
琵琶,ビワ
ビルマ,ビルマ
百済,クダラ
弥生,ヤヨイ
熊野,クマノ
阿弥陀,アミダ
チリ,チリ
養老,ヨウロウ
アルゼンチン,アルゼンチン
北米,ホクベイ
南米,ナンベイ
パレスチナ,パレスチナ
北欧,ホクオウ
ユートピア,ユートピア
南極,ナンキョク
大英,ダイエイ
ヤフー,ヤフー
貝塚,カイヅカ
中南米,チュウナンベイ
北極,ホッキョク
大韓,ダイカン
ドコモ,ドコモ
伊,イ
豪州,ゴウシュウ
豪,ゴウ
仏国,ブッコク
大韓民国,ダイカンミンコク